Name,Protein,Carbs,Fat,Fiber,Sugar,Water,Sodium,Calcium,Iron,Potassium,Cholesterol,Calories
"Bagel, multigrain",10.2,48.89,1.53,4.1,6.12,37.55,439,105,2.76,165,0,250.13
"Bagel, multigrain, with raisins",9.51,51.93,1.4,4.1,12.03,35.34,398,100,2.66,215,0,258.36
"Bagel, oat bran",10.2,48.89,1.53,4.1,6.12,37.55,439,105,2.76,165,0,250.13
"Bagel, pumpernickel",10.2,48.89,1.53,4.1,6.12,37.55,439,105,2.76,165,0,250.13
"Bagel, wheat",10.2,48.89,1.53,4.1,6.12,37.55,439,105,2.76,165,0,250.13
"Bagel, wheat bran",10.2,48.89,1.53,4.1,6.12,37.55,439,105,2.76,165,0,250.13
"Bagel, wheat, with fruit and nuts",9.54,50.83,2.68,4.4,11.74,35.15,389,99,2.64,213,0,265.6
"Bagel, wheat, with raisins",9.51,51.93,1.4,4.1,12.03,35.34,398,100,2.66,215,0,258.36
"Bagel, whole grain white",10.2,48.89,1.53,4.1,6.12,37.55,439,105,2.76,165,0,250.13
"Bagel, whole wheat",10.2,48.89,1.53,4.1,6.12,37.55,439,105,2.76,165,0,250.13
"Bagel, whole wheat, with raisins",9.51,51.93,1.4,4.1,12.03,35.34,398,100,2.66,215,0,258.36
"Bagel, with fruit other than raisins",9.55,48.36,1.25,1.7,8.43,39.09,380,95,3.23,101,0,242.89
"Bagel, with raisins",9.83,55.07,1.21,1.9,14.1,31.98,382,101,3.39,171,0,270.49
Baked beans,4.52,21.57,0.89,4.4,8.23,71.48,391,39,1.4,231,7,112.37
Baked beans from fast food / restaurant,4.38,23.29,1.35,4.3,10.38,69.2,491,38,1.36,224,7,122.83
"Baked beans, reduced sodium",4.77,20.35,0.4,5.5,7.73,72.1,270,50,0.29,294,0,104.08
"Baked beans, vegetarian",4.75,21.14,0.37,4.1,7.96,72.0,343,34,1.19,224,0,106.89
Baklava,5.62,38.58,27.23,2.1,13.14,27.09,354,27,1.89,134,47,421.87
"Bamboo shoots, cooked",1.68,3.13,2.93,1.4,1.84,91.9,16,8,0.31,78,2,45.61
"Banana apple dessert, baby food, strained",0.3,16.3,0.2,1.0,14.66,83.1,7,3,0.1,71,0,68.2
Banana chips,2.3,58.4,33.6,7.7,35.34,4.3,6,18,1.25,536,0,545.2
"Banana juice with lowfat yogurt, baby food",2.5,17.54,0.8,0.4,13.28,78.5,37,79,0.2,160,3,87.36
Banana nectar,0.38,17.95,0.15,0.9,14.26,81.17,2,4,0.1,126,0,74.67
Banana pudding,2.68,27.94,4.23,0.9,18.79,64.45,129,42,0.5,158,35,160.55
"Banana pudding, baby food, strained",1.0,14.14,0.8,0.8,10.55,83.5,54,11,0.3,90,29,67.76
Banana split,2.53,32.53,6.9,1.3,23.29,57.12,98,74,0.24,220,24,202.34
"Banana with mixed berries, baby food, strained",1.01,21.31,0.36,1.0,15.0,76.68,0,0,0.0,283,0,92.52
"Banana yogurt dessert, baby food, strained",1.1,17.35,0.52,0.5,12.2,80.7,14,30,0.14,100,1,78.48
"Banana, fried",1.19,32.26,3.21,2.8,20.94,62.35,4,13,0.33,353,8,162.69
"Banana, raw",1.09,22.84,0.33,2.6,12.23,74.91,1,5,0.26,358,0,98.69
"Bananas and pineapple, baby food, NS as to strained or junior",0.2,18.1,0.05,1.6,9.57,81.4,0,7,0.18,73,0,73.65
"Bananas and pineapple, baby food, junior",0.2,18.4,0.1,1.6,8.41,81.1,0,7,0.13,78,0,75.3
"Bananas and pineapple, baby food, strained",0.2,17.8,0.0,1.6,10.73,81.7,0,7,0.23,68,0,72.0
"Bananas and strawberry, baby food, junior",0.71,25.78,0.37,1.4,19.29,72.23,1,0,0.14,395,0,109.29
"Bananas with apples and pears, baby food, strained",0.9,19.31,0.22,1.4,12.76,79.0,2,5,0.3,233,0,82.82
"Bananas with orange, baby food, strained",1.06,20.41,0.0,2.1,14.27,77.91,10,0,0.23,265,0,85.88
"Bananas, baby food, NS as to strained or junior",0.4,16.55,0.15,1.6,3.74,82.75,0,6,0.25,98,0,69.15
"Bananas, baby food, junior",0.4,17.8,0.2,1.6,7.1,81.5,0,8,0.3,108,0,74.6
"Bananas, baby food, strained",1.0,21.34,0.2,1.6,11.36,76.7,2,4,0.3,290,0,91.16
Barbecue sauce,0.82,40.77,0.63,0.9,33.24,54.71,1027,33,0.64,232,0,172.03
"Barfi or Burfi, Indian dessert",5.41,40.46,11.34,0.4,36.97,41.83,71,148,0.22,185,35,285.54
"Barley cereal, baby food, dry, instant",13.2,69.4,6.6,6.6,13.2,6.8,33,643,48.21,467,0,389.8
"Barley soup, home recipe, canned, or ready-to-serve",2.81,7.94,0.96,0.9,1.22,87.35,297,11,0.45,121,4,51.64
"Barley soup, sweet, with or without nuts, Asian Style",1.02,11.87,1.57,0.9,9.22,85.28,4,13,0.22,49,0,65.69
"Barley, NS as to fat",2.25,28.09,0.44,3.8,0.28,68.47,187,11,1.32,93,0,125.32
"Barley, fat added",2.2,27.23,2.72,3.7,0.27,67.07,202,11,1.28,90,4,142.2
"Barley, no added fat",2.25,28.09,0.44,3.8,0.28,68.47,187,11,1.32,93,0,125.32
"Barracuda, baked or broiled, fat added",24.54,0.1,13.42,0.0,0.04,58.83,418,29,1.42,498,57,219.34
"Barracuda, baked or broiled, no added fat",25.28,0.1,9.94,0.0,0.04,61.47,431,29,1.46,513,59,190.98
"Barracuda, coated, baked or broiled, fat added",21.02,12.51,13.84,0.6,1.1,49.9,378,53,1.85,423,45,258.68
"Barracuda, coated, baked or broiled, no added fat",22.0,13.1,8.47,0.6,1.15,53.57,396,55,1.93,443,47,216.63
